m64247_220907_203457.demux.M13_bc1002_F--M13_bc1050_R.bam,cy0325_DRB_4.4,mafa
m64247_220907_203457.demux.M13_bc1004_F--M13_bc1050_R.bam,cy0161_DRB_4.4,mafa
m64247_220907_203457.demux.M13_bc1006_F--M13_bc1050_R.bam,cy0333_DRB_4.4,mafa
m64247_220907_203457.demux.M13_bc1008_F--M13_bc1050_R.bam,cy0695_DRB_4.4,mafa
m64247_220907_203457.demux.M13_bc1010_F--M13_bc1050_R.bam,cy0973_DRB_4.4,mafa
m64247_220907_203457.demux.M13_bc1012_F--M13_bc1050_R.bam,cy0390_DRB_4.4,mafa
m64247_220907_203457.demux.M13_bc1014_F--M13_bc1050_R.bam,cy0355_DRB_4.4,mafa
m64247_220907_203457.demux.M13_bc1016_F--M13_bc1050_R.bam,cy0424_DRB_4.4,mafa
m64247_220907_203457.demux.M13_bc1002_F--M13_bc1052_R.bam,cy0692_DRB_4.4,mafa
m64247_220907_203457.demux.M13_bc1004_F--M13_bc1052_R.bam,cy0322_DRB_4.4,mafa
m64247_220907_203457.demux.M13_bc1006_F--M13_bc1052_R.bam,cy0330_DRB_4.4,mafa
m64247_220907_203457.demux.M13_bc1008_F--M13_bc1052_R.bam,cy0558_DRB_4.4,mafa
m64247_220907_203457.demux.M13_bc1010_F--M13_bc1052_R.bam,cy0568_DRB_4.4,mafa
m64247_220907_203457.demux.M13_bc1003_F--M13_bc1050_R.bam,cy0325_DQA_2.2,mafa
m64247_220907_203457.demux.M13_bc1005_F--M13_bc1050_R.bam,cy0161_DQA_2.2,mafa
m64247_220907_203457.demux.M13_bc1007_F--M13_bc1050_R.bam,cy0333_DQA_2.2,mafa
m64247_220907_203457.demux.M13_bc1009_F--M13_bc1050_R.bam,cy0695_DQA_2.2,mafa
m64247_220907_203457.demux.M13_bc1011_F--M13_bc1050_R.bam,cy0973_DQA_2.2,mafa
m64247_220907_203457.demux.M13_bc1013_F--M13_bc1050_R.bam,cy0390_DQA_2.2,mafa
m64247_220907_203457.demux.M13_bc1015_F--M13_bc1050_R.bam,cy0355_DQA_2.2,mafa
m64247_220907_203457.demux.M13_bc1017_F--M13_bc1050_R.bam,cy0424_DQA_2.2,mafa
m64247_220907_203457.demux.M13_bc1003_F--M13_bc1052_R.bam,cy0692_DQA_2.2,mafa
m64247_220907_203457.demux.M13_bc1005_F--M13_bc1052_R.bam,cy0322_DQA_2.2,mafa
m64247_220907_203457.demux.M13_bc1007_F--M13_bc1052_R.bam,cy0330_DQA_2.2,mafa
m64247_220907_203457.demux.M13_bc1009_F--M13_bc1052_R.bam,cy0558_DQA_2.2,mafa
m64247_220907_203457.demux.M13_bc1011_F--M13_bc1052_R.bam,cy0568_DQA_2.2,mafa
m64247_220907_203457.demux.M13_bc1002_F--M13_bc1051_R.bam,cy0325_DQB_5.0,mafa
m64247_220907_203457.demux.M13_bc1004_F--M13_bc1051_R.bam,cy0161_DQB_5.0,mafa
m64247_220907_203457.demux.M13_bc1006_F--M13_bc1051_R.bam,cy0333_DQB_5.0,mafa
m64247_220907_203457.demux.M13_bc1008_F--M13_bc1051_R.bam,cy0695_DQB_5.0,mafa
m64247_220907_203457.demux.M13_bc1010_F--M13_bc1051_R.bam,cy0973_DQB_5.0,mafa
m64247_220907_203457.demux.M13_bc1012_F--M13_bc1051_R.bam,cy0390_DQB_5.0,mafa
m64247_220907_203457.demux.M13_bc1014_F--M13_bc1051_R.bam,cy0355_DQB_5.0,mafa
m64247_220907_203457.demux.M13_bc1016_F--M13_bc1051_R.bam,cy0424_DQB_5.0,mafa
m64247_220907_203457.demux.M13_bc1002_F--M13_bc1053_R.bam,cy0692_DQB_5.0,mafa
m64247_220907_203457.demux.M13_bc1004_F--M13_bc1053_R.bam,cy0322_DQB_5.0,mafa
m64247_220907_203457.demux.M13_bc1006_F--M13_bc1053_R.bam,cy0330_DQB_5.0,mafa
m64247_220907_203457.demux.M13_bc1008_F--M13_bc1053_R.bam,cy0558_DQB_5.0,mafa
m64247_220907_203457.demux.M13_bc1010_F--M13_bc1053_R.bam,cy0568_DQB_5.0,mafa
m64247_220907_203457.demux.M13_bc1003_F--M13_bc1051_R.bam,cy0325_DPA_2.6,mafa
m64247_220907_203457.demux.M13_bc1005_F--M13_bc1051_R.bam,cy0161_DPA_2.6,mafa
m64247_220907_203457.demux.M13_bc1007_F--M13_bc1051_R.bam,cy0333_DPA_2.6,mafa
m64247_220907_203457.demux.M13_bc1009_F--M13_bc1051_R.bam,cy0695_DPA_2.6,mafa
m64247_220907_203457.demux.M13_bc1011_F--M13_bc1051_R.bam,cy0973_DPA_2.6,mafa
m64247_220907_203457.demux.M13_bc1013_F--M13_bc1051_R.bam,cy0390_DPA_2.6,mafa
m64247_220907_203457.demux.M13_bc1015_F--M13_bc1051_R.bam,cy0355_DPA_2.6,mafa
m64247_220907_203457.demux.M13_bc1017_F--M13_bc1051_R.bam,cy0424_DPA_2.6,mafa
m64247_220907_203457.demux.M13_bc1003_F--M13_bc1053_R.bam,cy0692_DPA_2.6,mafa
m64247_220907_203457.demux.M13_bc1005_F--M13_bc1053_R.bam,cy0322_DPA_2.6,mafa
m64247_220907_203457.demux.M13_bc1007_F--M13_bc1053_R.bam,cy0330_DPA_2.6,mafa
m64247_220907_203457.demux.M13_bc1009_F--M13_bc1053_R.bam,cy0558_DPA_2.6,mafa
m64247_220907_203457.demux.M13_bc1011_F--M13_bc1053_R.bam,cy0568_DPA_2.6,mafa
m64247_220907_203457.demux.M13_bc1012_F--M13_bc1052_R.bam,r97070_DRB_4.4,mamu
m64247_220907_203457.demux.M13_bc1014_F--M13_bc1052_R.bam,rh1990_DRB_4.4,mamu
m64247_220907_203457.demux.M13_bc1016_F--M13_bc1052_R.bam,r02072_DRB_4.4,mamu
m64247_220907_203457.demux.M13_bc1002_F--M13_bc1054_R.bam,WK001_DRB_4.4,mamu
m64247_220907_203457.demux.M13_bc1004_F--M13_bc1054_R.bam,WK002_DRB_4.4,mamu
m64247_220907_203457.demux.M13_bc1006_F--M13_bc1054_R.bam,WK003_DRB_4.4,mamu
m64247_220907_203457.demux.M13_bc1008_F--M13_bc1054_R.bam,WK004_DRB_4.4,mamu
m64247_220907_203457.demux.M13_bc1010_F--M13_bc1054_R.bam,WK005_DRB_4.4,mamu
m64247_220907_203457.demux.M13_bc1012_F--M13_bc1054_R.bam,WK006_DRB_4.4,mamu
m64247_220907_203457.demux.M13_bc1014_F--M13_bc1054_R.bam,WK007_DRB_4.4,mamu
m64247_220907_203457.demux.M13_bc1016_F--M13_bc1054_R.bam,WK008_DRB_4.4,mamu
m64247_220907_203457.demux.M13_bc1002_F--M13_bc1056_R.bam,WK009_DRB_4.4,mamu
m64247_220907_203457.demux.M13_bc1004_F--M13_bc1056_R.bam,WK010_DRB_4.4,mamu
m64247_220907_203457.demux.M13_bc1006_F--M13_bc1056_R.bam,WK011_DRB_4.4,mamu
m64247_220907_203457.demux.M13_bc1008_F--M13_bc1056_R.bam,WK012_DRB_4.4,mamu
m64247_220907_203457.demux.M13_bc1010_F--M13_bc1056_R.bam,WK013_DRB_4.4,mamu
m64247_220907_203457.demux.M13_bc1012_F--M13_bc1056_R.bam,WK014_DRB_4.4,mamu
m64247_220907_203457.demux.M13_bc1014_F--M13_bc1056_R.bam,WK015_DRB_4.4,mamu
m64247_220907_203457.demux.M13_bc1016_F--M13_bc1056_R.bam,WK016_DRB_4.4,mamu
m64247_220907_203457.demux.M13_bc1002_F--M13_bc1058_R.bam,WK017_DRB_4.4,mamu
m64247_220907_203457.demux.M13_bc1004_F--M13_bc1058_R.bam,WK018_DRB_4.4,mamu
m64247_220907_203457.demux.M13_bc1006_F--M13_bc1058_R.bam,WK019_DRB_4.4,mamu
m64247_220907_203457.demux.M13_bc1008_F--M13_bc1058_R.bam,WK020_DRB_4.4,mamu
m64247_220907_203457.demux.M13_bc1010_F--M13_bc1058_R.bam,WK021_DRB_4.4,mamu
m64247_220907_203457.demux.M13_bc1012_F--M13_bc1058_R.bam,rh2534_DRB_4.4,mamu
m64247_220907_203457.demux.M13_bc1014_F--M13_bc1058_R.bam,r22001_DRB_4.4,mamu
m64247_220907_203457.demux.M13_bc1016_F--M13_bc1058_R.bam,r14119_DRB_4.4,mamu
m64247_220907_203457.demux.M13_bc1002_F--M13_bc1060_R.bam,r21087_DRB_4.4,mamu
m64247_220907_203457.demux.M13_bc1004_F--M13_bc1060_R.bam,r21089_DRB_4.4,mamu
m64247_220907_203457.demux.M13_bc1006_F--M13_bc1060_R.bam,r21103_DRB_4.4,mamu
m64247_220907_203457.demux.M13_bc1008_F--M13_bc1060_R.bam,r21078_DRB_4.4,mamu
m64247_220907_203457.demux.M13_bc1010_F--M13_bc1060_R.bam,r17046_DRB_4.4,mamu
m64247_220907_203457.demux.M13_bc1012_F--M13_bc1060_R.bam,r17084_DRB_4.4,mamu
m64247_220907_203457.demux.M13_bc1014_F--M13_bc1060_R.bam,r17095_DRB_4.4,mamu
m64247_220907_203457.demux.M13_bc1016_F--M13_bc1060_R.bam,r18003_DRB_4.4,mamu
m64247_220907_203457.demux.M13_bc1002_F--M13_bc1062_R.bam,rh2811_DRB_4.4,mamu
m64247_220907_203457.demux.M13_bc1004_F--M13_bc1062_R.bam,rh2819_DRB_4.4,mamu
m64247_220907_203457.demux.M13_bc1006_F--M13_bc1062_R.bam,rh2749_DRB_4.4,mamu
m64247_220907_203457.demux.M13_bc1008_F--M13_bc1062_R.bam,r12083_DRB_4.4,mamu
m64247_220907_203457.demux.M13_bc1010_F--M13_bc1062_R.bam,r17108_DRB_4.4,mamu
m64247_220907_203457.demux.M13_bc1012_F--M13_bc1062_R.bam,r18039_DRB_4.4,mamu
m64247_220907_203457.demux.M13_bc1014_F--M13_bc1062_R.bam,r21083_DRB_4.4,mamu
m64247_220907_203457.demux.M13_bc1016_F--M13_bc1062_R.bam,r21098_DRB_4.4,mamu
m64247_220907_203457.demux.M13_bc1002_F--M13_bc1064_R.bam,r14029_DRB_4.4,mamu
m64247_220907_203457.demux.M13_bc1004_F--M13_bc1064_R.bam,rh2781_DRB_4.4,mamu
m64247_220907_203457.demux.M13_bc1006_F--M13_bc1064_R.bam,r96121_DRB_4.4,mamu
m64247_220907_203457.demux.M13_bc1008_F--M13_bc1064_R.bam,r02033_DRB_4.4,mamu
m64247_220907_203457.demux.M13_bc1010_F--M13_bc1064_R.bam,r14111_DRB_4.4,mamu
m64247_220907_203457.demux.M13_bc1012_F--M13_bc1064_R.bam,r13013_DRB_4.4,mamu
m64247_220907_203457.demux.M13_bc1014_F--M13_bc1064_R.bam,r22023_DRB_4.4,mamu
m64247_220907_203457.demux.M13_bc1016_F--M13_bc1064_R.bam,r03125_DRB_4.4,mamu
m64247_220907_203457.demux.M13_bc1002_F--M13_bc1066_R.bam,r08025_DRB_4.4,mamu
